,adapted_entities,precision,recall,f1-score,support,accuracy
0,UBM,0.986842105263158,0.9861111111111112,0.9861003861003861,72.0,0.9861111111111112
1,user_id_2,1.0,1.0,1.0,2.0,1.0
2,user_id_7,1.0,1.0,1.0,2.0,1.0
3,user_id_10,1.0,1.0,1.0,2.0,1.0
4,user_id_16,1.0,1.0,1.0,2.0,1.0
5,user_id_29,1.0,1.0,1.0,2.0,1.0
6,user_id_33,1.0,1.0,1.0,2.0,1.0
7,user_id_34,1.0,1.0,1.0,2.0,1.0
8,user_id_37,1.0,1.0,1.0,2.0,1.0
9,user_id_38,1.0,1.0,1.0,2.0,1.0
10,avg_w/o_UBM,1.0,1.0,1.0,2.0,1.0
